# Source: live `agy models` on the locally installed Antigravity CLI
# Version: 1.1.24 (from `agy --version`)
# Observed: 2026-09-03
# Account scope: operator's signed-in agy account on this machine
# Platform/channel: Windows 11, native install
# Completeness: complete - the command printed the full list and exited 0 with no truncation or paging
# Format: one `<id>\t<label>` pair per line; the id is what `--model` accepts
# Redaction: no account identifiers, organization names, paths, tokens, or session material present

Fetching available models...
gemini-3.8-flash-high	Gemini 3.8 Flash (High)
gemini-3.8-flash-medium	Gemini 3.8 Flash (Medium)
gemini-3.8-flash-low	Gemini 3.8 Flash (Low)
gemini-3.7-flash-high	Gemini 3.7 Flash (High)
gemini-3.7-flash-medium	Gemini 3.7 Flash (Medium)
gemini-3.7-flash-low	Gemini 3.7 Flash (Low)
gemini-3.6-flash-high	Gemini 3.6 Flash (High)
gemini-3.6-flash-medium	Gemini 3.6 Flash (Medium)
gemini-3.6-flash-low	Gemini 3.6 Flash (Low)
gemini-3.1-pro-high	Gemini 3.1 Pro (High)
gemini-3.1-pro-low	Gemini 3.1 Pro (Low)
claude-sonnet-4-6	Claude Sonnet 4.6 (Thinking)
claude-opus-4-6-thinking	Claude Opus 4.6 (Thinking)
gpt-oss-120b-medium	GPT-OSS 120B (Medium)
